,Unnamed: 0,n,token,lemma,pos
399,399,69,.,.,u--------
400,400,1,ἄλλο,ἄλλος,a-s---na-
401,401,2,δὲ,δέ,g--------
402,402,3,στράτευμα,στράτευμα,n-s---na-
403,403,4,αὐτῷ,αὐτός,p-s---md-
404,404,5,συνελέγετο,συλλέγω,v3siie---
405,405,6,ἐν,ἐν,r--------
406,406,7,Χερρονήσῳ,Χερσόνησος,n-s---fd-
407,407,8,τῇ,ὅς,d--------
408,408,9,κατʼ,κατά,v1saia---
409,409,10,ἀντιπέρας,,v2saia---
410,410,11,Ἀβύδου,Ἄβυδος,n-s---mg-
411,411,12,τόνδε,ὅδε,p-s---ma-
412,412,13,τὸν,ὁ,l-s---ma-
413,413,14,τρόπον,τρόπος,n-s---ma-
414,414,15,.,.,u--------
415,415,16,Κλέαρχος,Κλέαρχος,n-s---mn-
416,416,17,Λακεδαιμόνιος,Λακεδαιμόνιος,a-s---mn-
417,417,18,φυγὰς,φυγή,n-s---mn-
418,418,19,ἦν,εἰμί,v3siia---
419,419,20,·,·,u--------
420,420,21,τούτῳ,οὗτος,p-s---md-
421,421,22,συγγενόμενος,συγγίγνομαι,v-sapmmn-
422,422,23,ὁ,ὁ,l-s---mn-
423,423,24,Κῦρος,Κῦρος,n-s---mn-
424,424,25,ἠγάσθη,ἄγαμαι,v3saip---
425,425,26,τε,τε,d--------
426,426,27,αὐτὸν,αὐτός,p-s---ma-
427,427,28,καὶ,καί,d--------
428,428,29,δίδωσιν,δίδωμι,v3spia---
429,429,30,αὐτῷ,αὐτός,p-s---md-
430,430,31,μυρίους,μυρίος,a-p---ma-
431,431,32,δαρεικούς,Δαρεικός,a-p---ma-
432,432,33,.,.,u--------
433,433,34,ὁ,ὁ,l-s---mn-
434,434,35,δὲ,δέ,g--------
435,435,36,λαβὼν,λαμβάνω,v-sapamn-
436,436,37,τὸ,ὁ,l-s---na-
437,437,38,χρυσίον,χρυσίον,n-s---na-
438,438,39,στράτευμα,στράτευμα,n-s---na-
439,439,40,συνέλεξεν,συλλέγω,v3saia---
440,440,41,ἀπὸ,ἀπό,r--------
441,441,42,τούτων,οὗτος,a-p---ng-
442,442,43,τῶν,ὁ,l-p---ng-
443,443,44,χρημάτων,χρῆμα,n-p---ng-
444,444,45,καὶ,καί,c--------
445,445,46,ἐπολέμει,πολεμέω,v3siia---
446,446,47,ἐκ,ἐκ,r--------
447,447,48,Χερρονήσου,Χερσόνησος,n-s---fg-
448,448,49,ὁρμώμενος,ὁρμάω,v-sppemn-
449,449,50,τοῖς,ὁ,l-p---md-
450,450,51,Θρᾳξὶ,Θρᾷξ,d--------
451,451,52,τοῖς,ὁ,l-p---md-
452,452,53,ὑπὲρ,ὑπέρ,r--------
453,453,54,Ἑλλήσποντον,Ἑλλήσποντος,n-s---ma-
454,454,55,οἰκοῦσι,οἰκέω,v-pppamd-
455,455,56,καὶ,καί,c--------
456,456,57,ὠφέλει,ὠφελέω,v3siia---
457,457,58,τοὺς,ὁ,l-p---ma-
458,458,59,Ἕλληνας,Ἕλλην,n-p---ma-
459,459,60,·,·,u--------
460,460,61,ὥστε,ὥστε,c--------
461,461,62,καὶ,καί,d--------
462,462,63,χρήματα,χρῆμα,n-p---na-
463,463,64,συνεβάλλοντο,συμβάλλω,v3piie---
464,464,65,αὐτῷ,αὐτός,p-s---md-
465,465,66,εἰς,εἰς,r--------
466,466,67,τὴν,ὁ,l-s---fa-
467,467,68,τροφὴν,τροφή,n-s---fa-
468,468,69,τῶν,ὁ,l-p---mg-
469,469,70,στρατιωτῶν,στρατιώτης,n-p---mg-
470,470,71,αἱ,ὁ,l-p---fn-
471,471,72,Ἑλλησποντιακαὶ,Ἑλλησποντιακός,a-p---fn-
472,472,73,πόλεις,πόλις,n-p---fn-
473,473,74,ἑκοῦσαι,ἑκών,n-p---fn-
474,474,75,.,.,u--------
475,475,76,τοῦτο,οὗτος,p-s---na-
476,476,77,δʼ,δέ,g--------
477,477,78,αὖ,αὖ,d--------
478,478,79,οὕτω,οὕτως,d--------
479,479,80,τρεφόμενον,τρέφω,v-sppema-
480,480,81,ἐλάνθανεν,λανθάνω,v3siia---
481,481,82,αὐτῷ,αὐτός,p-s---md-
482,482,83,τὸ,ὁ,l-s---na-
483,483,84,στράτευμα,στράτευμα,n-s---na-
484,484,85,.,.,u--------
485,485,1,Ἀρίστιππος,Ἀρίστιππος,n-s---mn-
486,486,2,δὲ,δέ,g--------
487,487,3,ὁ,ὁ,l-s---mn-
488,488,4,Θετταλὸς,Θεσσαλός,n-s---mn-
489,489,5,ξένος,ξένος,a-s---mn-
490,490,6,ὢν,εἰμί,v-sppamn-
491,491,7,ἐτύγχανεν,τυγχάνω,v3siia---
492,492,8,αὐτῷ,αὐτός,p-s---md-
493,493,9,",",",",u--------
494,494,10,καὶ,καί,c--------
495,495,11,πιεζόμενος,πιέζω,v-sppemn-
496,496,12,ὑπὸ,ὑπό,r--------
497,497,13,τῶν,ὁ,l-p---mg-
498,498,14,οἴκοι,οἶκος,d--------
499,499,15,ἀντιστασιωτῶν,ἀντιστασιώτης,n-p---mg-
500,500,16,ἔρχεται,ἔρχομαι,v3spie---
501,501,17,πρὸς,πρός,r--------
502,502,18,τὸν,ὁ,l-s---ma-
503,503,19,Κῦρον,Κῦρος,n-s---ma-
504,504,20,καὶ,καί,d--------
505,505,21,αἰτεῖ,αἰτέω,v3spia---
506,506,22,αὐτὸν,αὐτός,p-s---ma-
507,507,23,εἰς,εἰς,r--------
508,508,24,δισχιλίους,δισχίλιοι,a-p---ma-
509,509,25,ξένους,ξένος,n-p---ma-
510,510,26,καὶ,καί,d--------
511,511,27,τριῶν,τρεῖς,a-p---mg-
512,512,28,μηνῶν,μείς,n-p---mg-
513,513,29,μισθόν,μισθός,n-s---ma-
514,514,30,",",",",u--------
515,515,31,ὡς,ὡς,c--------
516,516,32,οὕτως,οὕτως,d--------
517,517,33,περιγενόμενος,περιγίγνομαι,v-sppemn-
518,518,34,ἂν,ἀνά,r--------
519,519,35,τῶν,ὁ,l-p---mg-
520,520,36,ἀντιστασιωτῶν,ἀντιστασιώτης,n-p---mg-
521,521,37,.,.,u--------
522,522,38,ὁ,ὁ,l-s---mn-
523,523,39,δὲ,δέ,g--------
524,524,40,Κῦρος,Κῦρος,n-s---mn-
525,525,41,δίδωσιν,δίδωμι,v3spia---
526,526,42,αὐτῷ,αὐτός,p-s---md-
527,527,43,εἰς,εἰς,r--------
528,528,44,τετρακισχιλίους,τετρακισχίλιοι,a-p---ma-
529,529,45,καὶ,καί,d--------
530,530,46,ἓξ,ἕξ,a--------
531,531,47,μηνῶν,μείς,n-p---mg-
532,532,48,μισθόν,μισθός,n-s---ma-
533,533,49,",",",",u--------
534,534,50,καὶ,καί,d--------
535,535,51,δεῖται,δέω2,v3spie---
536,536,52,αὐτοῦ,αὐτός,d--------
537,537,53,μὴ,μή,d--------
538,538,54,πρόσθεν,πρόσθεν,d--------
539,539,55,καταλῦσαι,καταλύω,v--ana---
540,540,56,πρὸς,πρός,r--------
541,541,57,τοὺς,ὁ,l-p---ma-
542,542,58,ἀντιστασιώτας,ἀντιστασιώτης,n-p---ma-
543,543,59,πρὶν,πρίν,c--------
544,544,60,ἂν,ἄν,g--------
545,545,61,αὐτῷ,αὐτός,p-s---md-
546,546,62,συμβουλεύσηται,συμβουλεύω,v3sasm---
547,547,63,.,.,u--------
548,548,64,οὕτω,οὕτως,d--------
549,549,65,δὲ,δέ,g--------
550,550,66,αὖ,αὖ,d--------
551,551,67,τὸ,ὁ,l-s---na-
552,552,68,ἐν,ἐν,r--------
553,553,69,Θετταλίᾳ,Θεσσαλία,n-s---fd-
554,554,70,ἐλάνθανεν,λανθάνω,v3siia---
